Fecha,Demanda_Real,Prediccion_RF,Prediccion_LSTM,Temperatura,Humedad,Velocidad_Viento,Error_RF
2018-03-14 23:00:00,27513.0,26939.37,26661.494637727737,12.968000000000007,77.6,6.6,2.084941663940686
2018-03-15 00:00:00,25725.999999999996,25529.39,25352.252990424633,12.330000000000007,77.2,3.8,0.7642462878022117
2018-03-15 01:00:00,24749.0,24593.269999999997,24634.19567167759,12.101666666666668,81.5,3.3333333333333335,0.6292375449513241
2018-03-15 02:00:00,24393.0,24213.17,24207.083603858948,11.731666666666683,78.83333333333333,4.666666666666667,0.7372196941745655
2018-03-15 03:00:00,24440.0,24311.770000000004,24229.653347730637,11.31400000000001,79.6,4.6,0.5246726677577574
2018-03-15 04:00:00,24925.000000000004,25112.220000000005,25166.234727978706,11.032000000000005,75.8,5.8,0.7511334002006064
2018-03-15 05:00:00,27541.0,27342.839999999997,27301.489700436592,11.178333333333342,79.5,3.6666666666666665,0.719509095530313
2018-03-15 06:00:00,31037.0,31347.329999999994,30536.723220825195,9.860000000000023,79.0,4.333333333333333,0.9998711215645664
2018-03-15 07:00:00,33587.0,33387.70999999999,33135.75479769707,10.204000000000008,78.2,3.8,0.5933545717093165
2018-03-15 08:00:00,35099.0,34657.31999999999,34683.98007106781,9.636000000000024,77.16666666666667,5.666666666666667,1.2583834297273642
2018-03-15 09:00:00,35621.0,35547.33999999999,35374.3770608902,11.408000000000015,72.6,6.0,0.20678813059714993
2018-03-15 10:00:00,35642.0,35701.939999999995,35423.5972328186,11.98800000000001,66.6,6.0,0.16817238089892558
2018-03-15 11:00:00,35208.0,35453.81,35104.654791116714,13.128000000000009,59.8,6.6,0.6981651897296003
2018-03-15 12:00:00,34868.0,34979.280000000006,34523.41473388672,14.438000000000011,50.6,7.6,0.3191464953539237
2018-03-15 13:00:00,33476.0,33889.799999999996,34107.80526578426,15.124000000000013,46.0,7.2,1.2361094515473643
2018-03-15 14:00:00,32683.0,33022.28111111111,32767.989297628403,14.950000000000012,51.4,10.0,1.0380965979595134
2018-03-15 15:00:00,32193.999999999996,32441.029999999995,31773.2910323143,15.356000000000005,45.6,8.0,0.7673168913462101
2018-03-15 16:00:00,32103.999999999996,32121.469999999994,31899.403344631195,14.218000000000018,57.8,6.6,0.0544168950909467
2018-03-15 17:00:00,32063.999999999996,32478.12,32513.759934186935,14.67600000000001,58.8,5.4,1.291541916167673
2018-03-15 18:00:00,34083.0,34050.79000000001,32966.90621936321,13.36400000000001,62.0,5.6,0.09450459173192456
2018-03-15 19:00:00,35725.0,35602.62,34394.70338177681,12.206000000000007,65.6,4.6,0.3425612316305035
2018-03-15 20:00:00,34821.0,35431.49,34722.24401676655,11.562000000000012,68.0,4.6,1.7532236294190227
2018-03-15 21:00:00,32382.0,32399.530000000002,32109.746182084084,10.948000000000025,70.4,4.0,0.05413501327898979
2018-03-15 22:00:00,29346.000000000004,29587.0,29157.109627008438,10.306000000000017,72.8,3.4,0.8212362843317533
2018-03-15 23:00:00,27423.0,27001.280000000006,26841.48362082243,9.990000000000009,75.4,3.2,1.5378332057032196
2018-03-16 00:00:00,25497.0,25643.090000000004,25558.656872153282,9.344000000000005,76.2,2.8,0.572969368945381
2018-03-16 01:00:00,24241.0,24561.36,24355.335681915283,8.842000000000018,77.0,2.4,1.3215626418052084
2018-03-16 02:00:00,23796.0,23848.08,23632.49246007204,8.42800000000002,77.8,2.0,0.21886031265759684
2018-03-16 03:00:00,23848.0,23618.130000000005,23713.89218172431,7.444000000000005,82.0,1.4,0.9638963435088701
2018-03-16 04:00:00,24458.0,24436.91,24856.180098593235,7.346000000000015,84.6,2.6,0.08622945457519073
2018-03-16 05:00:00,27296.0,26986.469999999998,26699.31080365181,7.2760000000000105,83.2,3.2,1.133975674091451
2018-03-16 06:00:00,30934.0,31168.349999999995,30221.363017320633,7.240000000000009,84.6,2.0,0.7575806555893027
