Fecha,Demanda_Real,Prediccion_RF,Prediccion_LSTM,Temperatura,Humedad,Velocidad_Viento
2018-03-14 23:00:00,27513.0,26939.37,26746.70356851816,12.968000000000007,77.6,6.6
2018-03-15 00:00:00,25725.999999999996,25529.39,25638.762893676758,12.330000000000007,77.2,3.8
2018-03-15 01:00:00,24749.0,24593.269999999997,24301.82668352127,12.101666666666668,81.5,3.3333333333333335
2018-03-15 02:00:00,24393.0,24213.17,23579.051587194204,11.731666666666683,78.83333333333333,4.666666666666667
2018-03-15 03:00:00,24440.0,24311.770000000004,23584.54579025507,11.31400000000001,79.6,4.6
2018-03-15 04:00:00,24925.000000000004,25112.220000000005,24419.994670569897,11.032000000000005,75.8,5.8
2018-03-15 05:00:00,27541.0,27342.839999999997,26328.692248046398,11.178333333333342,79.5,3.6666666666666665
2018-03-15 06:00:00,31037.0,31347.329999999994,29882.000722408295,9.860000000000023,79.0,4.333333333333333
2018-03-15 07:00:00,33587.0,33387.70999999999,32445.24141252041,10.204000000000008,78.2,3.8
2018-03-15 08:00:00,35099.0,34657.31999999999,34161.23758018017,9.636000000000024,77.16666666666667,5.666666666666667
2018-03-15 09:00:00,35621.0,35547.33999999999,34929.64273643494,11.408000000000015,72.6,6.0
2018-03-15 10:00:00,35642.0,35701.939999999995,35048.41529464722,11.98800000000001,66.6,6.0
2018-03-15 11:00:00,35208.0,35453.81,34752.412323236465,13.128000000000009,59.8,6.6
2018-03-15 12:00:00,34868.0,34979.280000000006,34214.34535694122,14.438000000000011,50.6,7.6
2018-03-15 13:00:00,33476.0,33889.799999999996,33995.19344520569,15.124000000000013,46.0,7.2
2018-03-15 14:00:00,32683.0,33022.28111111111,32625.057171940804,14.950000000000012,51.4,10.0
2018-03-15 15:00:00,32193.999999999996,32441.029999999995,32093.44124698639,15.356000000000005,45.6,8.0
2018-03-15 16:00:00,32103.999999999996,32121.469999999994,32201.62593603134,14.218000000000018,57.8,6.6
2018-03-15 17:00:00,32063.999999999996,32478.12,32520.86278951168,14.67600000000001,58.8,5.4
2018-03-15 18:00:00,34083.0,34050.79000000001,32669.584557056427,13.36400000000001,62.0,5.6
2018-03-15 19:00:00,35725.0,35602.62,34794.766538619995,12.206000000000007,65.6,4.6
2018-03-15 20:00:00,34821.0,35431.49,35144.72902691364,11.562000000000012,68.0,4.6
2018-03-15 21:00:00,32382.0,32399.530000000002,32241.062051415443,10.948000000000025,70.4,4.0
2018-03-15 22:00:00,29346.000000000004,29587.0,28954.752880215645,10.306000000000017,72.8,3.4
2018-03-15 23:00:00,27423.0,27001.280000000006,26492.638527929783,9.990000000000009,75.4,3.2
2018-03-16 00:00:00,25497.0,25643.090000000004,25415.086626052856,9.344000000000005,76.2,2.8
2018-03-16 01:00:00,24241.0,24561.36,24177.71226322651,8.842000000000018,77.0,2.4
2018-03-16 02:00:00,23796.0,23848.08,23286.384369701147,8.42800000000002,77.8,2.0
2018-03-16 03:00:00,23848.0,23618.130000000005,23211.27958267927,7.444000000000005,82.0,1.4
2018-03-16 04:00:00,24458.0,24436.91,24010.465832710266,7.346000000000015,84.6,2.6
2018-03-16 05:00:00,27296.0,26986.469999999998,26079.180319845676,7.2760000000000105,83.2,3.2
2018-03-16 06:00:00,30934.0,31168.349999999995,30065.226181030273,7.240000000000009,84.6,2.0
2018-03-16 07:00:00,33518.0,33339.4,32865.957213282585,6.974000000000013,85.0,2.4
2018-03-16 08:00:00,34691.0,34608.369999999995,34307.3753708601,8.118000000000018,76.8,2.0
2018-03-16 09:00:00,34920.0,35162.71,34741.77789592743,9.770000000000016,71.0,3.4
2018-03-16 10:00:00,34837.0,34628.61,34466.37827157974,11.008000000000015,64.2,4.2
2018-03-16 11:00:00,34651.0,34403.090000000004,34074.02733397484,12.298000000000012,54.4,4.2
2018-03-16 12:00:00,34338.0,34193.25000000001,33766.24652206898,13.40200000000001,50.2,5.2
2018-03-16 13:00:00,33245.0,33135.060000000005,33384.71761369705,14.360000000000003,50.4,3.8
2018-03-16 14:00:00,32433.999999999996,32749.44666666667,32314.303485751152,13.796000000000003,43.0,5.8
2018-03-16 15:00:00,31990.0,32199.109999999993,31752.708225607872,14.350000000000012,40.8,5.6
2018-03-16 16:00:00,31695.999999999996,32063.560000000005,31934.219249129295,14.068000000000017,45.8,6.0
2018-03-16 17:00:00,31598.000000000004,32075.469999999994,32117.977387666702,13.718000000000018,50.2,6.6
